state,shipments,rank_3,population,consumption,rank_6,year
Alabama,3115155,25,3191110,30.3,32,2003
Alaska,428056,49,431841,30.7,29,2003
Arizona,4432753,14,3886750,35.4,14,2003
Arkansas,1709626,34,1929399,27.5,44,2003
California,20712308,1,24329705,26.4,45,2003
Colorado,3355375,23,3201895,32.5,21,2003
Connecticut,1898191,32,2479768,23.7,49,2003
Delaware,657736,46,581063,35.1,16,2003
District of Columbia,421292,51,431076,30.3,31,2003
Florida,13461923,3,12510150,33.4,20,2003
Georgia,5716326,10,6044585,29.3,38,2003
Hawaii,966926,39,897668,33.4,18,2003
Idaho,929273,42,919558,31.3,26,2003
Illinois,9108157,5,8818538,32,23,2003
Indiana,3905265,19,4330496,28,42,2003
Iowa,2364617,28,2074506,35.3,15,2003
Kansas,1852806,33,1884895,30.5,30,2003
Kentucky,2490928,27,2951311,26.2,46,2003
Louisiana,3794425,20,3085025,38.1,9,2003
Maine,965242,40,955113,31.3,25,2003
Maryland,3261516,24,3898105,25.9,47,2003
Massachusetts,4172139,16,4677777,27.6,43,2003
Michigan,6774702,8,7076334,29.7,36,2003
Minnesota,3632319,21,3541873,31.8,24,2003
Mississippi,2313373,29,1968563,36.4,12,2003
Missouri,4382043,15,4045116,33.6,17,2003
Montana,897986,43,650666,42.8,4,2003
Nebraska,1420821,36,1201115,36.7,11,2003
Nevada,2254125,31,1586212,44.1,2,2003
New Hampshire,1293345,38,915952,43.8,3,2003
New Jersey,4736193,13,6165917,23.8,48,2003
New Mexico,1632266,35,1284517,39.4,5,2003
New York,10436243,4,13794116,23.5,50,2003
North Carolina,5763837,9,5992778,29.8,34,2003
North Dakota,635017,47,444950,44.2,1,2003
Ohio,8760272,6,8133862,33.4,19,2003
Oklahoma,2256670,30,2449659,28.6,40,2003
Oregon,2536123,26,2550495,30.8,28,2003
Pennsylvania,8651389,7,8959219,29.9,33,2003
Rhode Island,720814,44,770656,29,39,2003
South Carolina,3445413,22,2938769,36.3,13,2003
South Dakota,662121,45,530709,38.7,7,2003
Tennessee,4027048,17,4200871,29.7,35,2003
Texas,18346744,2,14876603,38.2,8,2003
Utah,958701,41,1501865,19.8,51,2003
Vermont,462873,48,443406,32.4,22,2003
Virginia,4976018,11,5261192,29.3,37,2003
Washington,3951729,18,4342353,28.2,41,2003
West Virginia,1348527,37,1336865,31.3,27,2003
Wisconsin,4855313,12,3870525,38.9,6,2003
Wyoming,424963,50,351293,37.5,10,2003
Alabama,3205217,25,3213160,30.9,28,2004
Alaska,451831,49,442832,31.6,26,2004
Arizona,4612086,14,4007927,35.7,15,2004
Arkansas,1760666,34,1949657,28,43,2004
California,21699836,1,24603849,27.3,45,2004
Colorado,3484452,23,3251618,33.2,20,2004
Connecticut,1889113,32,2487658,23.5,49,2004
Delaware,688562,45,591073,36.1,13,2004
District of Columbia,426416,51,433588,30.5,31,2004
Florida,13882668,3,12813196,33.6,18,2004
Georgia,5894158,10,6169651,29.6,36,2004
Hawaii,976815,41,909310,33.3,19,2004
Idaho,939861,42,942833,30.9,29,2004
Illinois,9032851,5,8871002,31.6,27,2004
Indiana,3993643,19,4363105,28.4,41,2004
Iowa,2398203,28,2086985,35.6,16,2004
Kansas,1854114,33,1899496,30.3,33,2004
Kentucky,2591949,26,2982963,26.9,46,2004
Louisiana,3702687,20,3110227,36.9,12,2004
Maine,987624,40,963242,31.8,23,2004
Maryland,3313575,24,3937682,26.1,47,2004
Massachusetts,4217108,16,4685302,27.9,44,2004
Michigan,6746578,8,7116028,29.4,37,2004
Minnesota,3656843,21,3578447,31.7,25,2004
Mississippi,2289032,30,1987241,35.7,14,2004
Missouri,4432524,15,4086708,33.6,17,2004
Montana,903095,43,661105,42.3,4,2004
Nebraska,1452783,36,1210777,37.2,10,2004
Nevada,2330926,29,1650594,43.8,2,2004
New Hampshire,1317878,38,928448,44,1,2004
New Jersey,4811390,13,6191646,24.1,48,2004
New Mexico,1608583,35,1307297,38.1,8,2004
New York,10294419,4,13880665,23,50,2004
North Carolina,5929747,9,6080407,30.2,34,2004
North Dakota,623772,47,449195,43,3,2004
Ohio,8702382,6,8171370,33,21,2004
Oklahoma,2282281,31,2471202,28.6,40,2004
Oregon,2558021,27,2578865,30.7,30,2004
Pennsylvania,8601725,7,9001092,29.6,35,2004
Rhode Island,715912,44,772656,28.7,39,2004
South Carolina,3570444,22,2985011,37.1,11,2004
South Dakota,681900,46,538446,39.3,5,2004
Tennessee,4155046,17,4251679,30.3,32,2004
Texas,18387719,2,15152851,37.6,9,2004
Utah,990159,39,1547083,19.8,51,2004
Vermont,465617,48,447178,32.3,22,2004
Virginia,5043738,11,5335483,29.3,38,2004
Washington,3994960,18,4407912,28.1,42,2004
West Virginia,1373205,37,1339768,31.8,24,2004
Wisconsin,4877662,12,3911932,38.7,7,2004
Wyoming,447516,50,355841,39,6,2004
Alabama,3207971,25,3241919,30.7,29,2005
Alaska,493340,48,451873,33.8,17,2005
Arizona,4595973,14,4159851,34.3,16,2005
Arkansas,1735670,34,1972930,27.3,43,2005
California,21758737,1,24832481,27.2,44,2005
Colorado,3484549,23,3300620,32.7,21,2005
Connecticut,1850876,32,2494226,23,50,2005
Delaware,707143,44,601424,36.4,10,2005
District of Columbia,442377,50,436641,31.4,27,2005
Florida,14084997,3,13123472,33.3,18,2005
Georgia,5815383,10,6291863,28.7,38,2005
Hawaii,988526,39,925665,33.1,19,2005
Idaho,934764,42,968327,29.9,31,2005
Illinois,9063267,5,8911599,31.5,25,2005
Indiana,3998855,19,4396569,28.2,40,2005
Iowa,2392252,28,2098222,35.3,15,2005
Kansas,1836845,33,1912951,29.8,33,2005
Kentucky,2555739,27,3011965,26.3,46,2005
Louisiana,3687427,20,3129288,36.5,9,2005
Maine,987454,40,969665,31.6,24,2005
Maryland,3312453,24,3973494,25.8,47,2005
Massachusetts,4110770,16,4695677,27.1,45,2005
Michigan,6700174,8,7140803,29.1,36,2005
Minnesota,3519542,21,3611524,30.2,30,2005
Mississippi,2331674,30,2002407,36.1,13,2005
Missouri,4393560,15,4131283,33,20,2005
Montana,900780,43,671010,41.6,4,2005
Nebraska,1427389,36,1220748,36.2,12,2005
Nevada,2353411,29,1705943,42.8,3,2005
New Hampshire,1313267,38,937768,43.4,2,2005
New Jersey,4822569,13,6208491,24.1,48,2005
New Mexico,1557761,35,1331012,36.3,11,2005
New York,10398722,4,13944942,23.1,49,2005
North Carolina,5958000,9,6175090,29.9,32,2005
North Dakota,643784,47,451050,44.2,1,2005
Ohio,8584283,6,8199116,32.5,22,2005
Oklahoma,2268257,31,2489932,28.2,39,2005
Oregon,2657610,26,2619745,31.4,26,2005
Pennsylvania,8579334,7,9039957,29.4,34,2005
Rhode Island,690237,45,770524,27.8,42,2005
South Carolina,3512254,22,3031505,35.9,14,2005
South Dakota,676937,46,545151,38.5,6,2005
Tennessee,4055232,17,4311997,29.2,35,2005
Texas,18315480,2,15437776,36.8,8,2005
Utah,972758,41,1592036,18.9,51,2005
Vermont,465345,49,450376,32,23,2005
Virginia,5068940,11,5410408,29,37,2005
Washington,4030955,18,4483297,27.9,41,2005
West Virginia,1359231,37,1341903,31.4,28,2005
Wisconsin,4929529,12,3949206,38.7,5,2005
Wyoming,429988,51,359818,37,7,2005
Alabama,3319532,25,3284391,31.3,28,2006
Alaska,500497,48,460588,33.7,17,2006
Arizona,4825857,14,4313310,34.7,16,2006
Arkansas,1771839,34,2002527,27.4,44,2006
California,23028755,1,25029553,28.5,39,2006
Colorado,3515522,23,3376222,32.3,22,2006
Connecticut,1905221,32,2505459,23.6,49,2006
Delaware,723941,44,612760,36.6,13,2006
District of Columbia,439643,50,438999,31,29,2006
Florida,14159580,3,13354411,32.9,19,2006
Georgia,6071672,10,6459997,29.1,37,2006
Hawaii,989931,41,935414,32.8,20,2006
Idaho,989356,42,997743,30.7,30,2006
Illinois,9153675,5,8966995,31.6,26,2006
Indiana,4011814,19,4438732,28,42,2006
Iowa,2397027,29,2112793,35.2,15,2006
Kansas,1897236,33,1930516,30.5,31,2006
Kentucky,2574301,27,3043220,26.2,46,2006
Louisiana,3813375,20,2985577,39.6,5,2006
Maine,1005032,40,976621,31.9,25,2006
Maryland,3353809,24,4006716,25.9,47,2006
Massachusetts,4135050,17,4718285,27.2,45,2006
Michigan,6577607,8,7166394,28.5,40,2006
Minnesota,3535077,22,3656176,30,33,2006
Mississippi,2377870,30,2004921,36.8,11,2006
Missouri,4458779,15,4181406,33.1,18,2006
Montana,949113,43,683291,43.1,4,2006
Nebraska,1444537,36,1230723,36.4,14,2006
Nevada,2484738,28,1763195,43.7,2,2006
New Hampshire,1334018,38,950040,43.5,3,2006
New Jersey,4887248,13,6225012,24.3,48,2006
New Mexico,1625172,35,1356394,37.1,9,2006
New York,10527939,4,14007760,23.3,50,2006
North Carolina,6139984,9,6322100,30.1,32,2006
North Dakota,660221,47,454268,45.1,1,2006
Ohio,8614876,7,8237422,32.4,21,2006
Oklahoma,2359253,31,2522416,29,38,2006
