state,adjusted,rank_3,state_taxes,rank_5,and_local_taxes,rank_7,year
Alabama,32.65,1,0,51,32.65,2,2009
Alaska,27.59,3,27.59,4,27.59,5,2009
Arizona,4.96,31,4.96,32,4.96,34,2009
Arkansas,7.51,20,7.75,22,7.75,24,2009
California,6.2,23,6.2,25,6.2,26,2009
Colorado,2.48,48,2.48,47,2.48,48,2009
Connecticut,6.18,24,6.18,26,6.18,27,2009
Delaware,4.85,33,4.85,34,4.85,36,2009
District of Columbia,2.79,44,2.79,44,2.79,45,2009
Florida,18.57,5,18.57,7,18.57,8,2009
Georgia,14.58,7,30.84,2,30.84,3,2009
Hawaii,27.77,2,27.77,3,27.77,4,2009
Idaho,5.66,27,5.66,28,5.66,30,2009
Illinois,6.36,21,6.36,23,8.34,21,2009
Indiana,3.57,40,3.57,40,3.57,42,2009
Iowa,5.89,26,5.89,27,5.89,29,2009
Kansas,5.58,28,5.58,29,5.58,31,2009
Kentucky,2.5,47,22.93,6,22.93,7,2009
Louisiana,10,13,10,15,11.49,13,2009
Maine,10.85,12,10.85,13,10.85,15,2009
Maryland,2.79,44,2.79,44,2.79,45,2009
Massachusetts,3.3,41,3.3,41,3.3,43,2009
Michigan,6.3,22,6.3,24,6.3,25,2009
Minnesota,4.52,35,4.52,36,4.52,38,2009
Mississippi,13.23,8,13.23,9,13.23,10,2009
Missouri,1.86,50,1.86,49,1.86,50,2009
Montana,4.3,36,4.3,37,4.3,39,2009
Nebraska,9.61,14,9.61,16,9.61,17,2009
Nevada,4.96,31,4.96,32,4.96,34,2009
New Hampshire,9.3,15,9.3,17,9.3,18,2009
New Jersey,3.72,39,3.72,39,3.72,40,2009
New Mexico,12.61,10,12.61,11,12.61,12,2009
New York,4.26,38,4.26,38,5.55,32,2009
North Carolina,17.81,6,17.81,8,17.81,9,2009
North Dakota,4.67,34,4.67,35,4.67,37,2009
Ohio,5.56,29,5.56,30,6.16,28,2009
Oklahoma,11.35,11,11.35,12,11.35,14,2009
Oregon,2.6,46,2.6,46,2.6,47,2009
Pennsylvania,3.18,42,3.18,42,3.18,44,2009
Rhode Island,3,43,3,43,3.69,41,2009
South Carolina,23.81,4,23.81,5,23.81,6,2009
South Dakota,8.5,17,8.5,19,8.5,20,2009
Tennessee,4.29,37,35.01,1,35.01,1,2009
Texas,6.01,25,10.83,14,10.83,16,2009
Utah,12.8,9,12.8,10,12.8,11,2009
Vermont,8.22,18,8.22,20,8.22,22,2009
Virginia,8.69,16,8.69,18,8.69,19,2009
Washington,8.08,19,8.08,21,8.08,23,2009
West Virginia,5.5,30,5.5,31,5.5,33,2009
Wisconsin,2,49,2,48,2,49,2009
Wyoming,0.59,51,0.59,50,0.59,51,2009
Alabama,32.65,1,32.65,2,32.65,2,2010
Alaska,27.59,3,27.59,5,27.59,5,2010
Arizona,5.19,31,5.19,33,5.19,34,2010
Arkansas,7.51,20,7.73,23,7.73,24,2010
California,6.2,23,6.2,26,6.2,26,2010
Colorado,2.48,48,2.48,48,2.48,48,2010
Connecticut,6.18,24,6.18,27,6.18,27,2010
Delaware,4.85,33,4.85,35,4.85,36,2010
District of Columbia,2.79,44,2.79,45,2.79,45,2010
Florida,19,6,19,9,19,9,2010
Georgia,14.58,7,30.84,3,30.84,3,2010
Hawaii,27.77,2,27.77,4,27.77,4,2010
Idaho,5.42,30,5.42,32,5.42,33,2010
Illinois,7.16,21,7.16,24,9.15,20,2010
Indiana,3.57,40,3.57,41,3.57,42,2010
Iowa,5.89,26,5.89,28,5.89,29,2010
Kansas,5.58,27,5.58,29,5.58,31,2010
Kentucky,2.5,47,23.13,7,23.13,7,2010
Louisiana,10,14,10,17,11.49,14,2010
Maine,10.85,13,10.85,16,10.85,17,2010
Maryland,2.79,44,2.79,45,2.79,45,2010
