state,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AK,50920.35,52278.05,54395.32,58519.66,65679.13,68867.58,73823.62,74606.28,69473.78,66217.06,62922.15,55454.19
AL,157.33,459.88,547.69,1810.06,6453.45,11747.74,13749.96,11465.23,11846.23,8771.22,9873.67,9014.92
AR,882.83,1081.95,1318.17,1144.17,125.94,1078.21,2787.48,6965.83,9058.3,4824.97,1623.57,3959.08
AZ,18635.98,18303.18,24410.52,32848.92,44792.72,59074.04,80214.06,74997.94,71863.7,70469.77,71892.05,88478.11
CA,2005517.01,2070667.22,2198550.1,2166028.35,2272768.96,2388676.84,2330092.84,2220498.84,2165833.96,2178070.92,2054263.98,1977084
CO,2564428.26,2285814.82,2279812.02,2277201.65,2290799.82,2177094.68,2207491.04,2083226.02,1898362.52,1560670.89,1598523.94,1570358.69
CT,3851.71,5471.25,6823.23,8033.77,6849.69,20486.04,33903.03,38194.71,47595.2,93599.78,50128.49,46190.93
DC,NA,NA,NA,1366.16,4257.53,5934.43,8335.8,8925.18,9664.33,9813.66,8975.52,5741.02
DE,25709.65,37560.36,48117.54,57886.92,65524.44,75629.27,82037.96,83489.86,78225.11,74403.02,68113.87,60444.29
FL,1188745.72,1297356.04,1247064.73,1287687.46,1289450.36,1260567.42,1242022.65,1245516.38,1186318.43,1173282.12,1211791.38,1177400.04
GA,412159.15,578799.07,518567.58,482677.65,480930.15,545302.04,489713.84,463799.45,533283.65,499930.03,460632.48,499525.74
HI,13159.64,13292.91,15488.55,19606.37,19391.33,18107.58,21582.44,25424.3,28641.98,32067.39,34821.42,35111.73
IA,2113.46,2634.37,3780.36,6320.58,8572.43,13243.72,21448.89,15321.13,7700.13,12338,9353.45,18434.52
ID,6279.71,6797.91,6834.92,7749.54,11316.83,15294.81,17477.57,16864.87,16296.75,17439.22,15268.86,14402.52
IL,39678.85,46856.93,63152.26,64148.06,60573.7,68420.11,145486.79,214051.58,243183,229367.33,219382.35,200870.19
IN,11103.64,14744.42,23055.64,36461.47,48867.09,61510.42,66614.28,66387.49,68150,63530.02,56023.45,49086.33
KS,1521.34,1857.82,3107.42,5670.63,4768.33,6125.65,7418.78,8041.3,9585.41,10026.43,6342.37,7479.97
KY,4568.13,5312,8190.89,9276.72,11795.65,19416.85,24748.1,30952.49,30049.37,32458.9,28653.06,25118.64
LA,28163.29,34585.32,43767.95,53422.01,56196.18,62679.68,69442.53,72007.58,61638.35,53685.02,48367.7,33660.9
MA,79385.94,84522.98,98121.54,119862.81,131474.98,126580.1,128941.15,149185.25,138987.97,162431.53,154797.7,143222.34
MD,23321.62,24036.23,29123.06,38254.66,46213.33,52907.04,58176.63,64705.32,68486.52,69714.09,70807.06,72769.66
ME,42649.45,47649.73,58015.64,77600.43,97285.94,110683.11,116113.35,117491.36,120823.77,116743.91,97260.97,101032.66
MI,74309.35,94996.8,118799.27,148703.06,185386.44,227414.7,297520.14,330798.01,329891.64,347771.21,359017.74,348934.58
MN,62497.37,67335.83,79534.59,101033.14,115956.35,133102.69,154949.51,154250.32,159728.02,159497.56,152641.92,146756.1
MO,1527439.4,1382551.86,1183200.36,1119507.94,1019244.02,942359.26,891963.11,881247.94,913652.28,840259.38,763851.31,742043.07
MS,2329.33,3585.07,5258.34,6867.94,6481.96,6907.14,7726.08,5999.23,5060.32,4474.17,3666.89,3361.31
MT,36944.52,35824.92,41261.22,46957.49,50865.95,54321.28,58998.91,53876.38,50679.09,47842.61,44290.04,39887.71
NC,834274.14,766996.13,903892.92,1010647.87,1054976.57,988300.04,971829.71,991004.06,561127.2,289428.28,298636.47,300587.32
ND,NA,NA,NA,NA,NA,590.57,2601.31,3456.6,1867.45,3219.15,299.88,145.87
NE,3524.26,4091.47,5688.77,7000.95,7244.52,3840.44,13753.51,10422.01,14472.86,13928.55,11217.22,9249.5
NH,331130.43,338988.75,341517.58,364000.89,365463.83,381402.55,367976.5,347827.51,317004.98,292497.8,295253.52,269654.65
NJ,489576.07,487051.21,544599.19,559276.11,502680.99,443199.05,447843.58,423001.17,376621.44,367964.45,370889.34,325232.23
NM,5965.5,7739.68,7838.24,10594.14,12803.35,15093.44,21957.12,26192.78,27804.17,34733.93,37733.8,37837.5
NV,14809.07,13983.77,14741.33,7871.97,4993.73,5702.72,8085.97,5161.63,8279.46,10871.8,12423.11,15045.5
NY,749430.78,650087.06,583310.58,604493.47,668632.48,674239.5,596752.77,589153.27,566871.56,520583.59,466871,450143.63
OH,1708860.22,1895495.69,2033529.73,1886886.8,1790342.28,1726077.24,1643427.98,1628062.64,1457112.02,1383472.57,1359048.25,1368599.36
OK,939.98,2578.47,3395.64,4025.32,4826.95,4840.77,6110,4539.32,5642.57,5409.25,968.47,1121.82
OR,302197.16,325659.16,341505.24,357821.43,375659.57,415935.76,479575.19,489128.91,477381.22,643288.16,404151.01,349803.33
PA,772329.9,953285.76,998172.5,1081543.3,1168462.04,1172679.83,1244846.05,1156462.98,1035752.73,946253.9,905758.65,822363.35
RI,2347,2430,3236.99,3371,4104.34,5174.14,4551.43,3969.48,3675.99,7854.41,15630.68,19862.36
SC,6193.71,6192.25,7558.6,11769.84,15831.87,18103.48,19762.34,19492.06,13380.82,20748.53,14709.1,14289.9
SD,572,559,586,1237.88,1521.5,1753.5,1923.75,2406.63,2606.53,3319.71,2298.83,2675.96
TN,10155.49,10982.71,12988.82,17597.04,28387.58,31767.12,60753.94,87084.56,72261.38,64760.02,54131.48,35017.56
TX,1094276.99,1131030.13,1143881.77,1152638.24,1144585.8,1038542.78,1060536.45,1037119.99,1073417.23,1057055.7,1069103.27,1056401.63
UT,26717.11,25943.15,29194.74,34548.18,43143.32,45937.83,51425.32,54961.49,54169.39,54184.15,51234.23,39701.03
VA,1425448.78,1186492.73,1152090.46,1165692.37,1175467.01,1134449.57,1048495.09,1017740.25,1253898.31,1463360.4,1272328.62,1186030.99
VT,70621.02,86533.33,105473.36,91368.48,98154.92,98852.28,93531.96,89387.18,68330.18,64791.32,66620.54,69498.8
WA,165425.08,155111.48,195436.87,218671.75,240103.86,274558.65,297547.82,291509.7,251896.07,222188.23,222168.19,208289.99
WI,1039757.77,1191461.86,1130525.73,981225.81,1038914.37,1071651.35,1066520.15,937817.99,1010565.53,1093376.11,1047608.3,799948.2
WV,1655.04,1725.47,2582.42,3264.98,3701.81,4525.59,5160.63,6640.44,3835.3,3564.32,3278.68,4017.18
WY,2989.71,2489.98,3852.33,5055.71,5752.17,7216.88,8379.14,9671.7,8328.08,8312.15,16731.39,18726.19
total,17285670.24,17461286.16,17725898.72,17817251.15,18157777.56,18097967.51,18176128.25,17750504.62,17000382.28,16514866.69,15662381.42,14880067.09
